exam,doc_id,content
Exam1,1,"Iedereen leert op zijn eigen manier. Toch geven we u een paar tips om beter te kunnen leren.    Begin met het maken van een planning: wat gaat u wanneer doen?    Elke dag een beetje leren is beter dan alles op één dag leren.    Lees op verschillende dagen dezelfde bladzijdes een paar keer opnieuw. U onthoudt de informatie dan beter.    Zoek uit wanneer u het beste kan leren: ’s morgens, ’s middags of ’s avonds.    Leer niet langer dan een half uur. Neem daarna een pauze of ga even iets heel anders doen.    Leer in een rustige omgeving. Denk niet teveel aan andere dingen.    Lees eerst een stuk tekst. Denk daarna even na over de inhoud.    Lees dan een nieuw stuk tekst en denk weer na over die inhoud. Ga zo verder tot het einde van de tekst.    Leg aan iemand anders uit wat u hebt gelezen. Als u dat kunt, weet u zeker dat u het hebt begrepen.    U onthoudt informatie beter als u het aan iemand hebt verteld."
Exam1,2,"Onderwerp: Jaarlijkse hardloopwedstrijd    Wij willen u met deze brief informatie geven over de jaarlijkse hardloopwedstrijd in ons dorp. Ook willen wij u vertellen wat er die dag anders is voor het verkeer. We willen dat alles zo goed mogelijk gaat en we hopen dat u weinig last hebt van de wedstrijd.    Ongeveer 500 hardlopers doen mee aan de hardloopwedstrijd. De start en de finish zijn op het Dorpsplein. U kunt naar de hardlopers komen kijken, als u daar zin in heeft.    Datum: zaterdag 13 juni    Tijd: van 11.00 uur tot 16.00 uur    Route: Dorpsplein – Dorpsstraat – Bergsebaan – Flamingostraat – Dorpsplein     We willen dat alles veilig is voor de hardlopers, het verkeer en het publiek. Daarom sluiten wij een aantal straten en wegen af. Op de route mogen tot 17.00 uur geen auto’s staan. Wij vragen u daarom uw auto vóór zaterdagmorgen 13 juni 10.00 uur weg te halen. Auto’s die er daarna nog staan zal de politie wegslepen.    Wij bieden u onze excuses aan voor de overlast en wij danken u voor uw medewerking.    Met vriendelijke groet,    Piet Jansen    Organisator hardloopwedstrijd"
Exam1,3,"Hebt u meubels gezien die u wilt kopen? En wilt u dat wij deze meubels bij u thuisbezorgen? Dan kunt u gebruikmaken van onze transportservice.    Hoe werkt het? U maakt een lijstje met de meubels, op internet of in onze winkel. Wij verzamelen deze meubels en bezorgen alles bij u thuis. Dit alles voor een klein bedrag.    De prijzen voor het bezorgen ziet u hieronder.    Tarieven:    Hoeveel weegt uw bestelling? 	Bezorging op de begane grond 	Bezorging op de 1e, 2e, 3e etc. verdieping    0-199 kg	€ 54,- 	€ 64,-    200 kg of meer 	€ 104,-	€ 144,-    Deze prijzen zijn geldig voor één adres. Wilt u de meubels op meer adressen laten bezorgen? Ga dan voor meer informatie naar de informatiebalie in onze winkel.    Bezorging    De levertijd van de meubels is ten minste twee weken.    U kunt op onze website zien op welke dagen wij meubels thuisbezorgen    Wilt u weten hoe laat wij de meubels bezorgen? Bel dan naar onze klantenservice.    Dit kan alleen op de dag van de bezorging, vanaf 8 uur ’s ochtends.    Woont u op de vijfde verdieping of hoger? Wij bezorgen alleen als er een lift is."
Exam1,4,"Beste collega,    Op vrijdag 9 mei gaan we met het bedrijf kanovaren!    Jan van ‘Botenverhuur de Rijnstroom’ wacht op ons om half 11 in Utrecht.    Adres: Rhijnauwen 2. Om half 12 is er lunch met een kop koffie of thee. Om half 8 eten we een pannenkoek bij het pannenkoekenhuis. Je hoeft zelf dus geen eten mee te nemen. Het programma eindigt om half 9.    Wat moet je meenemen? We raden aan om extra kleding mee te nemen, voor als je kleding nat wordt op de boot. Wij zullen handdoeken meenemen. Je hoeft geen zwemkleding mee te nemen, het water is nog te koud om in te zwemmen.    Laat je weten of je erbij kunt zijn? Je kunt je tot 2 mei bij Ingmar aanmelden. Als je nog vragen hebt, kun je bellen met Charlotte, tel. 030 - 2521312.    Wij hopen op een gezellige dag!    Namens de feestcommissie,    Henk de Groot"
Exam1,5,"Aan: j.degraaf@werk.nl    CC:               Onderwerp: Tas vergeten    Hoi Jasper,    Ik zit nu in de trein van mijn werk naar huis en merk dat ik mijn tas ben vergeten! Hij staat nog op mijn bureau. Wil jij hem misschien ophalen en naar de portier brengen? Dan haal ik mijn tas daar morgen op.    Het is een gele rugtas met een rits. In de tas zit mijn laptop. Er zitten ook een boek en een bril in de tas. Gelukkig heb ik mijn telefoon en portemonnee wel bij me!    Wil je me een bericht sturen als je de tas gevonden hebt?    Alvast bedankt!    Groetjes,    Suzanne"
Exam1,6,"Beste buurtbewoners,    Op 9 juli is onze sportdag in het Sportpark in Amsterdam. Wilt u om 9 uur op het veld zijn? Dan kunnen we op tijd beginnen.    We beginnen om half 10 met een tennistoernooi. U kunt ’s ochtends ook kiezen voor basketbal. Daarna hebben we lunchpauze. U moet zelf uw brood meenemen, wij zorgen voor koffie en thee. Na de pauze is er een voetbaltoernooi. Voor de kinderen is er dan een volleybalwedstrijd. Om half 7 is de sportdag afgelopen. We gaan dan barbecueën. Als u geen vlees eet, wilt u dit dan doorgeven aan Marie? Zij doet samen met Mo de boodschappen.    Let op! Wij kunnen de kleedkamers van het Sportpark niet gebruiken. De kleedkamers worden verbouwd. U moet dus thuis uw sportkleren aantrekken.    De sportdag (met barbecue en drankjes) kost € 15,- per persoon. Kinderen betalen € 8,50. U moet betalen als u zich aanmeldt. U kunt zich aanmelden tot 25 juni bij Jan (Vissersplein 45A).    Vorig jaar was de barbecue alleen voor de deelnemers van de sportdag. Dit jaar is dat anders: ook mensen die niet meedoen mogen mee barbecueën. Zij betalen dan € 10,-. Als u niet meedoet aan de sportdag, kunt u zich tot 1 juli voor de barbecue aanmelden bij Mo (Abrahamslaan 2).    Wij hopen op een zonnige sportdag!    Met vriendelijke groeten,    Jan, Marie, Bas en Mo"
Exam1,7,"Bruiloft Nadia en Richard    Beste collega’s,    Volgende week vrijdag is de bruiloft van Nadia en Richard! Daarom hebben we een feestcommissie opgericht. De feestcommissie bestaat uit William, David en Elise. We hebben alle drie een taak, zodat we er een leuke dag van kunnen maken!    Wij willen een bus huren om samen met collega’s naar de bruiloft te gaan. Wil je mee met de bus? Geef je dan op bij David.    We willen met de collega’s een cadeau geven aan het bruidspaar. Als je wilt, kun je ook meedoen. Je kunt geld aan William geven. We weten nog niet precies wat we gaan geven. Op het bureau van Elise ligt een lijstje met cadeaus. Kruis op het lijstje aan wat je het leukste cadeau vindt: een cadeaubon of een weekendje weg. We gaan het cadeau geven dat het meest gekozen is door jullie.    Nadia is deze week nog gewoon aan het werk. Ons cadeau moet natuurlijk wel een verrassing blijven. Let er dus op dat je niets zegt tegen Nadia!    Groeten, de feestcommissie    David, William en Elise"
Exam1,8,"EHBO De Groene Cirkel    EHBO betekent: Eerste Hulp Bij Ongelukken. Als EHBO’er kunt u helpen als er een ongeluk gebeurt. Bijvoorbeeld als uw buurjongen valt en zijn arm breekt. Of als iemand zich snijdt bij het eten maken. U kunt bij ons verschillende EHBO-cursussen volgen.    U haalt uw diploma bij ons altijd in korte tijd. U kunt kiezen uit:    Cursus EHBO I    Dit is de algemene cursus ‘EHBO’. U leert om te helpen bij allerlei ongelukken. Bijvoorbeeld als iemand z’n been breekt. Maar u leert ook wat u moet doen bij andere problemen, zoals een bloedneus of brandwond.    De cursus bestaat uit zes bijeenkomsten. U krijgt er een online cursusboek bij. Aan het einde van de cursus doet u examen in de praktijk.    Kosten voor de cursus: € 124,50    Cursus EHBO II    Dit is de cursus ‘Reanimeren’. Deze cursus kan u helpen om levens te redden! U leert mensen met een hartstilstand of ademstilstand te helpen. U weet na de cursus precies wat u dan moet doen.    De cursus bestaat uit één bijeenkomst van drie uur. U krijgt de gids ‘Reanimatie’ mee naar huis.    Kosten voor de cursus: € 72,50    Cursus EHBO III    Dit is de cursus ‘EHBO voor ouders’. Deze cursus is zeer geschikt voor ouders en verzorgers. Is een kind bijvoorbeeld gewond of ziek? Of moet een kind ineens erg hoesten? Deze cursus leert u hoe u dan kunt helpen. De cursus is ook erg handig als u in het onderwijs werkt.    De cursus bestaat uit vier bijeenkomsten. U krijgt het cursusboek bij de eerste bijeenkomst.    Kosten voor de cursus: € 105,-"
Exam1,9,"Bartjes Kringloopcentrum    In Bartjes Kringloopcentrum is veel te koop. Gebruikte spullen of nieuwe spullen, altijd goed en goedkoop. Kom regelmatig kijken. Er is altijd weer iets anders te koop.    Wat hebben we te koop?    Kleding en schoenen voor dames, heren en kinderen    Boeken en tijdschriften voor volwassenen en jeugd    Elektrische apparaten, meubels, speelgoed, enzovoorts…    Hoe werken we?    U brengt uw spullen naar ons. Wij kunnen ze ook gratis bij u thuis ophalen. We nemen niet alles mee, alleen wat we kunnen verkopen in onze winkel. Wij controleren en testen alle spullen. Wat kapot is, proberen we te maken. Ook maken we alles schoon. Daarna zetten we de spullen te koop in onze winkel. Als u spullen bij ons koopt, kunnen we ze bij u thuis afleveren. Daarvoor betaalt u 5 euro.    Wat doen we met onze winst?    U krijgt geen geld voor uw spullen. De medewerkers van Bartjes zijn allemaal vrijwilligers. Het geld dat we verdienen met de verkoop gaat naar een goed doel. Elk jaar kiezen we een ander goed doel. Het goede doel is dit jaar kinderboerderij ‘Het bokje’.    Dus…    Hebt u spullen die u niet meer gebruikt? Hebt u kleren die u niet meer draagt? Gooi ze niet weg! Geef de spullen aan ons! Hebt u iets nodig voor weinig geld? Koop het bij ons!"
Exam1,10,"Ziekmelding    Hoe meld ik mij ziek?    U meldt u telefonisch ziek bij uw werkgever. Dit doet u zo snel mogelijk, maar uiterlijk op het tijdstip dat uw werkdag begint. Als uw werkdag normaal bijvoorbeeld om 9 uur begint, meldt u zich uiterlijk om 9 uur ziek. Wordt u onder werktijd ziek, dan meldt u dit meteen. In ieder geval voordat u naar huis gaat.    Wat vertel ik tijdens een ziekmelding?    Waar hebt u last van? Wat gaat u doen om zo snel mogelijk beter te worden? Wanneer kunt u weer werken, denkt u? Moeten uw collega’s werk van u overnemen? Dit zijn allemaal dingen die uw werkgever moet weten.    Ook is het belangrijk dat uw werkgever u kan bereiken. U spreekt tijdens het gesprek ook af wanneer u elkaar weer spreekt.    Moet ik alle klachten aan mijn werkgever vertellen?    U hebt recht op uw privacy. U hoeft geen medische gegevens te geven. Als u privéproblemen hebt, hoeft u daar niets over te vertellen. U moet wél vertellen waarom u niet kunt komen werken. U kunt zeggen dat u om medische redenen of privéredenen niet kunt komen werken. Meer hoeft u niet te zeggen."
Exam2,1,"Welkom bij de tandartspraktijk Oud Zwaluwen    Ons team	Werkdagen    Javier Barnet, tandarts	maandag en donderdag    Marie de Klop, tandarts	dinsdag en woensdag    Peter de Vries, kindertandarts	woensdag en donderdag    Salah Ben Ali, mondhygiënist	maandag, dinsdag en donderdag    Onze openingstijden    De praktijk is elke dag geopend van 8.30 tot 17.00 uur. Op vrijdag en in het weekend zijn wij gesloten.    Afspraak maken    U kunt onze receptie bellen van maandag tot en met donderdag van 9.00 tot 12.00 uur. Op vrijdag zijn wij gesloten. Ons telefoonnummer is 070 - 3609916.    Spoedbehandeling tijdens openingstijden    Heeft u zoveel pijn dat u direct geholpen moet worden? U kunt dan een spoedafspraak maken met de assistente op 06-35571209. U kunt dan altijd dezelfde dag nog bij onze praktijk terecht. Let op: Dit kan niet op vrijdag of in het weekend!    Spoedbehandeling op vrijdag en in het weekend    Op vrijdag en in het weekend is de praktijk gesloten. Heeft u veel pijn en kunt u niet wachten tot maandag? U kunt dan bellen met het noodnummer: 070 – 3608814."
Exam2,2,"Wat is een cv?    Uw curriculum vitae (cv) stuurt u op als u solliciteert naar een baan. In uw cv staat wie u bent en wat u kunt.    Hoe maakt u een cv?    Een cv bestaat uit de volgende punten:    persoonlijke gegevens    Hier zet u uw naam, adres, telefoon, e-mailadres, geboortedatum.    opleiding    Hier zet u alle opleidingen en cursussen die u hebt gedaan.    werkervaring    Hier schrijft u het werk dat u gedaan heeft. Dus ook vrijwilligerswerk en stages.    Schrijf hier ook wat u allemaal op uw werk moest doen.    overig    Hier zet u alle andere dingen die belangrijk zijn. Zoals:    talenkennis    computerkennis    rijbewijs"
Exam2,3,"Vakanties    Herfstvakantie	Maandag 17 oktober t/m vrijdag 21 oktober    Kerstvakantie	Maandag 26 december t/m vrijdag 6 januari    Voorjaarsvakantie	Maandag 27 februari t/m vrijdag 2 maart    Meivakantie	Dinsdag 1 mei t/m vrijdag 4 mei    Zomervakantie	Maandag 16 juli t/m vrijdag 31 augustus    Op vakantie?    Gaat u buiten de vakantieperiode om op vakantie? Vertel dit dan aan uw docent. Dit moet u uiterlijk 2 weken vóór uw vakantie schriftelijk doen    Ziek?    Bent u ziek en kunt u niet naar de les komen, bel dan met de administratie van de talenschool. U moet dit zo snel mogelijk doen, uiterlijk een uur voordat de les begint.    Open dagen    Belangstellenden en nieuwe cursisten zijn welkom op:    Donderdag 26 januari 17.30 uur – 21.00 uur    Zaterdag 28 januari 10.00 uur – 13.00 uur    Vrijdag 20 april 18.30 uur – 21.00 uur    Op deze dagen zijn er geen lessen op de talenschool. Als u het leuk vindt, kunt u helpen tijdens de open dagen. U kunt bijvoorbeeld informatie geven aan mensen die een talencursus willen volgen. Zij vinden het leuk om te horen wat u van de talenschool vindt. Nieuwe cursisten komen ook vaak naar de open dagen. Zo kunt u ze alvast leren kennen. Wilt u helpen tijdens de open dagen? Zeg dit dan tegen uw docent of tegen de administratie."
Exam2,4,"Ziekmelding    Als u ziek bent en niet kunt komen werken, moet u dit bij uw leidinggevende melden. U hoeft niet te vertellen waar u last van heeft. Wel moet u zeggen hoe lang u denkt ziek te zijn.    Uw leidinggevende is Chantal Miedema. U kunt haar bellen vanaf 7:00 uur. Haar telefoonnummer is 06-12563490. U moet Chantal altijd voor 9:30 uur bellen. Als u Chantal niet kunt bereiken, dan kunt u bellen met Jaap van Bommel. Hij werkt bij het secretariaat. Het secretariaat is bereikbaar tussen 8:00 en 12:00 uur op 030-5452343.    De bedrijfsarts    U kunt altijd een afspraak maken met de bedrijfsarts. Zijn telefoonnummer is 030-3448015.    Als u langer dan zes weken ziek bent, krijgt u een uitnodiging van onze bedrijfsarts. Zijn naam is Cees Zwaan. Hij gaat samen met u kijken hoe u weer beter kunt worden."
Exam2,5,"Uitnodiging buurtbijeenkomst    We hebben de afgelopen jaren veel gedaan in de Oranjebuurt. Er is nu een speeltuin voor de kinderen. En we hebben met alle bewoners een paar bomen geplant. Maar we willen meer. We nodigen u daarom van harte uit voor de buurtbijeenkomst op woensdagavond 24 november. We zullen dan met elkaar praten over de veranderingen. We zullen ook de plannen voor volgend jaar bespreken.    Programma    19:30 uur: Ontvangst en welkomstdrankje    19:45 uur: Muzikaal optreden Milan & Zelina    20:15 uur: Film over wat we gedaan hebben in de wijk    21:00 uur: Themagroepen (zie hieronder)    22:00 uur: Hapjes, drankjes en muziek    Themagroepen    U kunt meepraten over de volgende thema’s:    Activiteiten voor kinderen    Winkels    Werkgelegenheid    Veiligheid    Groen en schoon    Opgeven    De buurtbijeenkomst wordt een informatieve en gezellige avond. Wilt u komen? Laat dat dan vóór 23 november weten aan het buurtcomité. We zien u graag op 24 november in het buurthuis!    Buurtcomité Oranjebuurt"
Exam2,6,"Het sportcentrum is geopend op:    Werkdagen van 08.00 uur tot 22.00 uur.    Zaterdag en zondag van 09.00 uur tot 17.00 uur.    Er zijn drie soorten abonnementen:    Basis	€ 14,- per maand 	zoveel sporten als u maar wilt    Daluren	€ 12,95 per maand	op werkdagen sporten tot 17.00 uur    Weekend	€ 10,- per maand	vanaf vrijdagmiddag 17.00 uur    U kunt zich aanmelden bij het sportcentrum."
Exam2,7,"Dag Yvonne,    Ik wil je graag bedanken voor de geweldige taalcursus. Ik heb geleerd om de Nederlandse taal echt te gebruiken. Ik durf nu meer in het Nederlands te praten en te schrijven. En ik kan het nu ook veel beter. Ik praatte eigenlijk nooit met Nederlanders. Ik vind het nog steeds moeilijk en maak nog steeds fouten, maar ik doe het nu wel. Mijn man heeft me wel geholpen bij deze brief.    Het is belangrijk dat ik blijf oefenen. Dat doe ik door de taal gewoon te gebruiken. Soms willen mijn man of mijn kinderen me helpen. Maar ik wil het zelf proberen. Als ik hun hulp nodig heb, dan vraag ik het wel.    Het is jammer dat ik alles in één jaar moest leren. Het is echt heel veel. Maar ik heb de cursus afgemaakt. En ik ben geslaagd voor mijn examen.    Nogmaals heel veel dank voor al je hulp. Jij bent een fantastische docent!    Groetjes,    Samira"
Exam2,8,"Informatie huisarts    Openingstijden    Wij zijn open van maandag tot en met donderdag van 08:00 tot 17:00 uur en op vrijdag van 08:00 tot 12:30 uur.    ’s Avonds, in het weekend en tijdens de vakantie    Op avonden, in het weekend en op vrijdagmiddag kunt u de centrale huisartsenpost bellen (0900 2233333). Zij geven u telefonisch advies. Als het nodig is, kunt u een afspraak maken voor een bezoek. Deze informatie staat ook op onze website: www.uwhuisarts.nl. Hier kunt u ook vinden wie uw huisarts vervangt tijdens vakanties.    Noodgevallen    Als u bij een noodgeval niemand direct kunt bereiken, belt u dan het alarmnummer (112).    Afspraak maken    Een afspraak voor het spreekuur van de huisarts kunt u maken bij de assistente. U kunt dat bij ons aan de balie doen of telefonisch: 031 2850127. Belt u het liefst tussen 08:00 en 10:30 uur.    Telefonisch spreekuur    Voor kort overleg en uitslagen (bijvoorbeeld na bloed prikken) kunt u de assistente bellen. Dat kan van maandag tot en met donderdag van 13:30 tot 14:30 uur.    Ons adres en ons telefoonnummer kunt u ook vinden in het weekblad."
